date,account_id,segment,region,industry,product,channel,spend,impressions,clicks,leads,stage,opportunity_value,rep_id,cycle_days,status,renewal_flag,expansion_value
2024-10-04,A00415,SMB,NA,HealthTech,Core,events,496.24,4949,0,0,SAL,9366.87,R031,26,open,1,0.0
2024-10-05,A00947,Mid-Market,NA,Ecommerce,Core,partner,0.3,5,0,0,MQL,37807.75,R012,56,open,0,0.0
2024-10-06,A00248,Mid-Market,APAC,Ecommerce,Add-on A,events,601.48,6560,0,3,MQL,8566.41,R027,71,open,0,0.0
2024-10-07,A01137,SMB,NA,SaaS,Core,paid_social,617.19,11959,143,8,SQL,6672.23,R035,61,open,1,0.0
2024-10-08,A01051,Mid-Market,NA,HealthTech,Add-on B,partner,18.42,197,0,1,MQL,15797.02,R013,72,open,0,0.0
2024-10-09,A00532,SMB,NA,FinTech,Core,paid_search,188.14,1544,54,8,SAL,7006.22,R034,42,open,1,0.0
2024-10-10,A00102,SMB,NA,FinTech,Add-on B,paid_search,19.52,289,10,0,MQL,2909.24,R029,33,open,1,0.0
2024-10-11,A01456,Mid-Market,NA,AI/ML,Core,events,340.32,3550,0,1,MQL,39771.09,R030,48,open,0,0.0
2024-10-12,A00669,SMB,NA,SaaS,Core,paid_social,102.75,1596,19,0,MQL,7223.47,R006,51,open,0,0.0
2024-10-13,A01339,Mid-Market,EMEA,HealthTech,Core,outbound,100.44,1079,0,1,Commit,39824.07,R005,71,open,0,0.0
2024-10-14,A01017,Enterprise,NA,HealthTech,Core,paid_search,179.13,2353,82,11,SAL,133725.05,R021,126,open,0,0.0
2024-10-15,A01167,Enterprise,APAC,FinTech,Core,outbound,104.5,1061,0,0,Proposal,136189.93,R018,122,open,0,0.0
2024-10-16,A01140,SMB,NA,Ecommerce,Add-on A,outbound,91.24,1199,0,0,SAL,2139.43,R014,30,open,0,0.0
2024-10-17,A00292,SMB,APAC,HealthTech,Add-on A,partner,18.04,173,0,0,MQL,1881.7,R041,48,open,0,0.0
2024-10-18,A00546,SMB,APAC,Ecommerce,Core,paid_search,353.34,4259,149,19,SQL,8490.14,R011,25,open,0,1698.03
2024-10-19,A00700,SMB,NA,FinTech,Add-on A,paid_search,369.22,3835,134,21,MQL,2263.29,R017,48,open,1,226.33
2024-10-20,A00747,Enterprise,NA,AI/ML,Add-on B,partner,6.06,107,0,3,MQL,52788.86,R003,119,open,0,10557.77
2024-10-21,A00066,SMB,LATAM,Ecommerce,Add-on A,outbound,76.78,1286,0,0,SAL,2289.62,R001,68,open,0,0.0
2024-10-22,A00820,SMB,EMEA,FinTech,Core,paid_search,38.24,382,13,2,Proposal,9547.3,R015,31,open,0,1909.46
2024-10-23,A00232,Enterprise,EMEA,AI/ML,Core,paid_search,523.06,4704,164,16,Commit,129126.97,R032,100,open,0,0.0
2024-10-24,A01115,SMB,NA,AI/ML,Add-on B,outbound,367.32,3052,0,0,MQL,3748.0,R027,38,open,0,0.0
2024-10-25,A01024,SMB,NA,HealthTech,Core,events,1064.32,11409,0,2,SQL,7269.69,R031,54,open,0,726.97
2024-10-26,A01383,SMB,EMEA,SaaS,Core,events,1787.61,24601,0,1,SAL,9515.14,R034,10,open,0,0.0
2024-10-27,A01117,Mid-Market,APAC,HealthTech,Add-on A,referral,4.73,60,0,0,Proposal,10186.14,R026,88,open,0,0.0
2024-10-28,A00550,Mid-Market,NA,Ecommerce,Core,paid_search,319.71,6284,219,17,Closed-Won,28577.4,R020,71,closed,0,0.0
2024-10-29,A01451,SMB,APAC,FinTech,Add-on A,paid_search,101.38,1774,62,7,SAL,2072.36,R016,27,open,0,414.47
2024-10-30,A00616,Enterprise,EMEA,SaaS,Core,outbound,59.12,528,0,0,MQL,120142.64,R002,114,open,0,0.0
2024-10-31,A00489,Enterprise,NA,HealthTech,Add-on A,referral,19.31,191,0,0,Proposal,33787.26,R015,108,open,0,0.0
2024-11-01,A01358,Enterprise,NA,AI/ML,Add-on B,paid_search,257.35,2140,74,7,SAL,40825.73,R022,101,open,0,0.0
2024-11-02,A00556,SMB,NA,FinTech,Add-on B,outbound,109.53,1057,0,0,Commit,3235.38,R011,15,open,1,0.0
2024-11-03,A00115,SMB,NA,HealthTech,Add-on B,paid_search,105.79,1518,53,10,SAL,3201.62,R007,55,open,0,320.16
2024-11-04,A00704,Enterprise,EMEA,SaaS,Add-on B,paid_search,219.26,1955,68,2,Closed-Won,45994.35,R027,111,closed,0,0.0
2024-11-05,A01193,SMB,NA,Ecommerce,Core,partner,48.28,420,0,1,MQL,9574.98,R022,39,open,0,0.0
2024-11-06,A00285,Mid-Market,NA,AI/ML,Add-on B,paid_search,126.59,1192,41,5,SQL,14221.46,R044,87,open,0,1422.15
2024-11-07,A00694,Mid-Market,EMEA,Ecommerce,Add-on B,paid_search,148.33,2378,83,7,MQL,13514.17,R037,75,open,1,0.0
2024-11-08,A00195,SMB,EMEA,HealthTech,Core,outbound,151.89,1250,0,0,SQL,9140.49,R035,21,open,1,914.05
2024-11-09,A01030,Mid-Market,EMEA,SaaS,Core,paid_social,520.65,10223,122,9,Closed-Won,29946.76,R022,85,closed,0,2994.68
2024-11-10,A00714,Enterprise,EMEA,HealthTech,Core,paid_social,647.87,8143,97,4,SQL,109802.99,R029,142,open,0,10980.3
2024-11-11,A00495,Mid-Market,NA,AI/ML,Core,outbound,140.83,1695,0,1,SQL,31904.49,R039,82,open,0,6380.9
2024-11-12,A00341,SMB,EMEA,SaaS,Add-on A,paid_search,424.17,5810,203,30,MQL,2346.96,R026,32,open,0,234.7
2024-11-13,A00847,Enterprise,NA,FinTech,Core,outbound,22.68,322,0,0,MQL,138255.83,R012,97,open,0,0.0
2024-11-14,A01005,Mid-Market,NA,AI/ML,Core,paid_social,59.08,770,9,0,SAL,36493.58,R032,61,open,0,0.0
2024-11-15,A01410,Mid-Market,NA,HealthTech,Core,paid_search,109.57,1516,53,5,SAL,32474.81,R006,76,open,1,6494.96
2024-11-16,A00656,Enterprise,EMEA,SaaS,Core,outbound,221.54,2675,0,0,MQL,118468.98,R023,141,open,1,0.0
2024-11-17,A00241,Mid-Market,EMEA,SaaS,Add-on B,paid_social,438.79,5205,62,6,SQL,14398.42,R038,63,open,0,0.0
2024-11-18,A01249,SMB,NA,HealthTech,Core,referral,5.05,42,0,0,SQL,8128.28,R038,35,open,0,812.83
2024-11-19,A00945,SMB,APAC,HealthTech,Core,partner,23.17,372,0,2,MQL,7218.99,R035,60,open,0,0.0
2024-11-20,A01050,SMB,APAC,AI/ML,Core,referral,67.23,1035,0,0,MQL,6817.56,R026,38,open,0,0.0
2024-11-21,A00146,Mid-Market,NA,AI/ML,Add-on B,paid_social,200.43,3212,38,3,MQL,16282.76,R016,100,open,0,0.0
2024-11-22,A00469,Mid-Market,EMEA,HealthTech,Add-on B,paid_search,194.34,3749,131,13,SQL,14788.75,R011,72,open,0,1478.87
2024-11-23,A01151,Mid-Market,NA,HealthTech,Core,referral,0.57,7,0,0,Commit,30031.29,R022,92,open,1,3003.13
2024-11-24,A01248,SMB,LATAM,AI/ML,Core,paid_social,50.32,935,11,1,SAL,9567.5,R025,50,open,0,1913.5
2024-11-25,A00653,Mid-Market,NA,Ecommerce,Core,outbound,71.87,957,0,0,MQL,33757.88,R015,85,open,0,3375.79
2024-11-26,A01207,Enterprise,NA,FinTech,Core,referral,2.04,27,0,0,Proposal,131182.57,R011,117,open,1,0.0
2024-11-27,A01262,SMB,NA,Ecommerce,Add-on A,paid_search,206.97,3227,112,11,MQL,1741.37,R034,43,open,0,0.0
2024-11-28,A00581,Mid-Market,NA,Ecommerce,Core,paid_search,316.12,3347,117,18,SQL,41058.72,R024,81,open,0,0.0
2024-11-29,A01347,Mid-Market,EMEA,FinTech,Core,outbound,138.29,1467,0,1,SAL,29108.9,R022,86,open,0,0.0
2024-11-30,A00433,Mid-Market,EMEA,AI/ML,Core,events,1685.18,23791,0,0,Commit,41381.5,R036,82,open,0,4138.15
2024-12-01,A00360,SMB,NA,FinTech,Core,paid_search,345.04,3044,106,14,SQL,8726.79,R043,18,open,0,0.0
2024-12-02,A01024,Mid-Market,EMEA,HealthTech,Core,events,582.41,6313,0,2,MQL,31181.42,R033,78,open,0,0.0
2024-12-03,A00955,Enterprise,APAC,HealthTech,Core,outbound,146.97,2575,0,0,MQL,104683.48,R035,110,open,0,10468.35
2024-12-04,A00210,Mid-Market,APAC,Ecommerce,Core,paid_social,74.36,1008,12,0,MQL,39719.41,R012,66,open,0,3971.94
2024-12-05,A01249,Enterprise,EMEA,AI/ML,Core,paid_search,347.78,2893,101,8,MQL,97916.35,R038,126,open,0,0.0
2024-12-06,A00300,Enterprise,NA,FinTech,Core,outbound,203.18,1773,0,0,MQL,101485.45,R033,145,open,0,0.0
2024-12-07,A01207,SMB,NA,FinTech,Add-on B,outbound,41.87,797,0,0,SAL,3421.26,R025,41,open,0,0.0
2024-12-08,A00012,Mid-Market,APAC,Ecommerce,Core,partner,17.46,340,0,2,Proposal,29083.14,R006,104,open,0,0.0
2024-12-09,A01195,Mid-Market,APAC,AI/ML,Core,paid_search,150.4,2360,82,8,MQL,35577.44,R023,58,open,0,3557.74
2024-12-10,A01180,Enterprise,EMEA,AI/ML,Core,referral,45.23,462,0,1,SAL,123554.54,R029,138,open,0,0.0
2024-12-11,A01170,SMB,APAC,Ecommerce,Add-on A,outbound,273.2,3392,0,0,Commit,1614.3,R009,51,open,0,0.0
2024-12-12,A00997,SMB,NA,Ecommerce,Add-on B,outbound,201.85,2354,0,0,SAL,3042.77,R014,48,open,0,0.0
2024-12-13,A00707,Enterprise,EMEA,Ecommerce,Add-on A,paid_social,32.23,561,6,0,SAL,24342.37,R035,140,open,0,0.0
2024-12-14,A01058,SMB,NA,AI/ML,Core,paid_search,106.76,1542,53,2,Proposal,9494.03,R028,35,open,0,949.4
2024-12-15,A00416,Mid-Market,NA,SaaS,Add-on A,events,1134.52,19690,0,0,SQL,7753.63,R011,94,open,0,0.0
2024-12-16,A01171,SMB,EMEA,HealthTech,Core,paid_social,50.12,617,7,0,SAL,8607.07,R038,41,open,0,0.0
2024-12-17,A00833,Enterprise,NA,SaaS,Add-on B,paid_social,90.83,1674,20,1,Closed-Won,51336.3,R038,110,closed,0,0.0
2024-12-18,A00688,Enterprise,LATAM,HealthTech,Add-on A,partner,34.03,447,0,0,MQL,33266.78,R006,100,open,0,0.0
2024-12-19,A00758,SMB,NA,FinTech,Core,paid_search,250.29,3255,113,8,MQL,7473.05,R003,68,open,0,0.0
2024-12-20,A00853,Mid-Market,APAC,FinTech,Core,partner,25.95,359,0,0,SAL,30581.57,R031,92,open,0,0.0
2024-12-21,A00056,SMB,APAC,AI/ML,Core,events,272.29,4112,0,1,MQL,8097.61,R004,37,open,0,809.76
2024-12-22,A00210,Mid-Market,EMEA,Ecommerce,Core,referral,6.65,124,0,0,MQL,37720.71,R031,83,open,0,0.0
2024-12-23,A00368,Mid-Market,LATAM,HealthTech,Add-on A,paid_social,280.66,3786,45,0,MQL,9643.55,R024,76,open,0,0.0
2024-12-24,A00172,Enterprise,NA,AI/ML,Core,outbound,64.38,1233,0,0,SQL,98347.94,R034,114,open,0,0.0
2024-12-25,A00659,SMB,NA,SaaS,Add-on A,events,1252.35,15934,0,0,SAL,2202.13,R002,59,open,0,0.0
2024-12-26,A01002,SMB,NA,Ecommerce,Add-on B,partner,9.63,114,0,0,Proposal,2703.91,R043,35,open,1,0.0
2024-12-27,A00981,Mid-Market,NA,SaaS,Core,paid_search,294.5,3398,118,19,MQL,35345.04,R005,42,open,0,0.0
2024-12-28,A00707,Mid-Market,APAC,FinTech,Core,paid_search,133.05,1098,38,3,SQL,35775.75,R022,78,open,0,0.0
2024-12-29,A01282,Mid-Market,EMEA,SaaS,Core,partner,82.7,1504,0,1,MQL,29778.7,R036,76,open,0,8933.61
2024-12-30,A00848,SMB,NA,HealthTech,Add-on A,paid_search,268.57,2403,84,2,MQL,2371.2,R006,36,open,0,0.0
2024-12-31,A00119,SMB,NA,Ecommerce,Core,outbound,144.74,1738,0,1,SQL,8441.65,R033,31,open,0,844.17
2025-01-01,A01147,Enterprise,EMEA,Ecommerce,Core,paid_search,84.4,928,32,5,MQL,106746.79,R031,96,open,0,10674.68
2025-01-02,A00862,SMB,APAC,HealthTech,Core,paid_search,452.35,7659,268,27,SQL,6562.87,R039,39,open,0,0.0
2025-01-03,A00952,SMB,NA,AI/ML,Add-on B,events,3318.53,63686,0,0,SQL,3552.03,R024,31,open,0,0.0
2025-01-04,A00848,Enterprise,APAC,FinTech,Core,events,261.27,4650,0,0,SQL,136383.15,R014,134,open,0,0.0
2025-01-05,A00830,SMB,EMEA,SaaS,Core,events,1656.7,19615,0,0,SAL,6690.02,R036,52,open,0,0.0
2025-01-06,A00136,Mid-Market,APAC,SaaS,Add-on B,paid_social,226.31,3048,36,0,Commit,12641.61,R007,67,open,0,0.0
2025-01-07,A00839,SMB,NA,SaaS,Core,outbound,97.92,1073,0,0,MQL,8455.61,R035,52,open,1,0.0
2025-01-08,A01192,Enterprise,EMEA,HealthTech,Core,partner,2.69,51,0,0,Closed-Won,116110.9,R008,118,closed,0,0.0
2025-01-09,A00456,Mid-Market,NA,HealthTech,Core,paid_search,322.01,3034,106,11,MQL,32795.17,R033,70,open,0,0.0
2025-01-10,A00904,Enterprise,NA,AI/ML,Core,paid_social,190.45,3699,44,3,SAL,116373.66,R002,119,open,0,0.0
2025-01-11,A00047,SMB,APAC,SaaS,Core,paid_social,330.43,5869,70,5,Closed-Won,8016.97,R018,71,closed,1,0.0
2025-01-12,A00521,Mid-Market,EMEA,FinTech,Core,outbound,263.36,4355,0,0,MQL,30585.28,R039,84,open,0,0.0
2025-01-13,A00655,Mid-Market,NA,AI/ML,Add-on A,paid_social,295.18,5103,61,1,Proposal,8358.22,R021,70,open,1,835.82
2025-01-14,A01474,SMB,APAC,SaaS,Core,outbound,305.92,3693,0,0,SAL,6623.44,R002,58,open,0,0.0
2025-01-15,A00322,SMB,NA,HealthTech,Core,paid_social,483.52,5585,67,2,Commit,6419.38,R041,57,open,0,0.0
2025-01-16,A00415,SMB,EMEA,SaaS,Core,outbound,221.64,2787,0,0,MQL,9520.62,R027,48,open,0,952.06
2025-01-17,A00613,Enterprise,LATAM,HealthTech,Core,referral,30.94,314,0,0,SAL,98630.78,R020,115,open,0,0.0
2025-01-18,A01489,Mid-Market,EMEA,AI/ML,Add-on A,events,579.77,9830,0,0,MQL,7152.17,R040,69,open,0,0.0
2025-01-19,A01280,Mid-Market,APAC,FinTech,Add-on A,paid_social,177.63,2433,29,2,MQL,10114.87,R026,58,open,0,0.0
2025-01-20,A00053,Mid-Market,EMEA,FinTech,Add-on A,paid_search,154.37,2875,100,10,SQL,10416.13,R027,77,open,0,0.0
2025-01-21,A00351,Mid-Market,APAC,HealthTech,Add-on B,events,4476.77,83001,0,0,SQL,15929.4,R031,65,open,0,0.0
2025-01-22,A01232,Mid-Market,EMEA,Ecommerce,Add-on A,paid_search,399.04,3938,137,19,SQL,7488.43,R008,68,open,0,0.0
2025-01-23,A00088,SMB,EMEA,AI/ML,Core,referral,3.5,37,0,0,SQL,8446.5,R006,54,open,1,0.0
2025-01-24,A01283,Mid-Market,NA,SaaS,Add-on B,paid_social,242.9,3140,37,1,Proposal,15102.78,R027,100,open,0,0.0
2025-01-25,A00422,SMB,APAC,HealthTech,Add-on B,paid_search,130.4,1229,43,2,SAL,3547.73,R034,50,open,1,709.55
2025-01-26,A01376,Enterprise,NA,Ecommerce,Core,paid_search,56.47,918,32,0,MQL,101418.67,R043,118,open,0,20283.73
2025-01-27,A00441,Enterprise,LATAM,SaaS,Core,events,647.13,10904,0,0,Proposal,114756.13,R001,119,open,0,0.0
2025-01-28,A00652,SMB,NA,AI/ML,Core,partner,79.11,1317,0,0,SQL,7283.51,R004,62,open,0,728.35
2025-01-29,A00993,Mid-Market,NA,FinTech,Core,paid_social,89.86,1225,14,1,MQL,37163.22,R044,80,open,0,0.0
2025-01-30,A00190,SMB,APAC,HealthTech,Add-on A,paid_search,226.29,4100,143,14,SAL,1874.88,R008,47,open,0,187.49
2025-01-31,A00835,Enterprise,NA,AI/ML,Core,paid_social,211.04,3222,38,0,MQL,120423.48,R026,123,open,0,12042.35
2025-02-01,A00758,Enterprise,NA,Ecommerce,Core,partner,4.49,89,0,0,Proposal,126069.0,R021,98,open,1,0.0
2025-02-02,A01176,Enterprise,APAC,AI/ML,Core,referral,17.88,317,0,0,MQL,137558.91,R008,125,open,1,0.0
2025-02-03,A01494,SMB,NA,Ecommerce,Add-on B,paid_search,246.41,4106,143,9,SQL,3738.77,R034,31,open,0,0.0
2025-02-04,A00996,SMB,NA,FinTech,Core,outbound,172.31,1633,0,0,SQL,8619.03,R035,50,open,0,0.0
2025-02-05,A00614,SMB,EMEA,Ecommerce,Add-on A,outbound,72.06,1296,0,0,Closed-Lost,1725.11,R013,33,closed,0,0.0
2025-02-06,A00610,SMB,NA,Ecommerce,Core,outbound,98.77,1152,0,0,SAL,9244.53,R038,53,open,0,924.45
2025-02-07,A00627,SMB,NA,FinTech,Core,paid_social,496.17,6463,77,3,Commit,7054.45,R027,42,open,0,0.0
2025-02-08,A01221,SMB,NA,SaaS,Core,outbound,177.83,2410,0,0,SQL,6570.2,R010,27,open,0,0.0
2025-02-09,A00482,Enterprise,NA,Ecommerce,Core,events,861.32,10314,0,0,MQL,116989.02,R012,115,open,0,0.0
2025-02-10,A00251,SMB,NA,HealthTech,Add-on A,paid_search,326.41,3035,106,10,MQL,2147.71,R002,78,open,0,0.0
2025-02-11,A00502,SMB,NA,Ecommerce,Add-on A,paid_search,247.77,2574,90,7,MQL,1719.49,R025,10,open,1,0.0
2025-02-12,A00035,Enterprise,EMEA,SaaS,Core,paid_social,58.13,1025,12,1,MQL,110369.55,R024,122,open,0,0.0
2025-02-13,A00160,Mid-Market,EMEA,HealthTech,Core,paid_search,766.36,12129,424,49,SAL,29120.84,R008,59,open,0,0.0
2025-02-14,A00135,Mid-Market,NA,AI/ML,Add-on A,paid_social,97.96,1892,22,2,MQL,9163.72,R029,95,open,0,0.0
2025-02-15,A01157,Mid-Market,NA,AI/ML,Add-on A,referral,68.74,1227,0,1,Proposal,9478.83,R014,87,open,0,0.0
2025-02-16,A01083,Enterprise,APAC,AI/ML,Core,referral,25.66,329,0,0,MQL,120944.96,R008,122,open,0,0.0
2025-02-17,A01045,Mid-Market,EMEA,FinTech,Add-on A,paid_search,1236.01,21549,754,59,MQL,8555.51,R009,88,open,0,855.55
2025-02-18,A00693,Mid-Market,NA,SaaS,Core,paid_search,101.53,1514,52,3,SQL,39867.82,R025,78,open,0,3986.78
2025-02-19,A01075,Mid-Market,EMEA,HealthTech,Core,outbound,94.73,1083,0,0,Commit,33868.6,R041,75,open,0,3386.86
2025-02-20,A00242,SMB,NA,HealthTech,Add-on A,paid_social,518.48,10214,122,4,Closed-Won,1953.42,R024,36,closed,0,195.34
2025-02-21,A01351,SMB,APAC,FinTech,Add-on A,paid_search,878.87,16823,588,79,Commit,2061.86,R028,39,open,0,0.0
2025-02-22,A00752,Mid-Market,LATAM,SaaS,Add-on A,referral,33.01,308,0,1,Commit,9463.47,R038,68,open,0,946.35
2025-02-23,A01407,SMB,LATAM,SaaS,Core,paid_search,548.43,9911,346,49,MQL,8886.5,R029,45,open,0,888.65
2025-02-24,A00229,Mid-Market,NA,FinTech,Core,paid_search,651.75,5821,203,17,SAL,28571.48,R036,46,open,0,2857.15
2025-02-25,A00746,SMB,NA,Ecommerce,Add-on A,outbound,108.2,2071,0,0,MQL,2280.93,R024,60,open,0,228.09
2025-02-26,A01044,SMB,NA,SaaS,Core,outbound,92.98,1440,0,0,Closed-Won,7844.23,R006,74,closed,0,0.0
2025-02-27,A00743,SMB,NA,SaaS,Core,paid_social,405.95,4059,48,0,MQL,9298.79,R030,38,open,0,0.0
2025-02-28,A00669,Enterprise,NA,FinTech,Core,outbound,323.59,5762,0,0,SAL,121744.47,R032,137,open,1,12174.45
2025-03-01,A00250,SMB,EMEA,AI/ML,Core,partner,11.1,157,0,1,MQL,7922.67,R020,42,open,0,0.0
2025-03-02,A00572,Mid-Market,NA,AI/ML,Core,paid_search,186.84,1628,56,7,Commit,30735.41,R023,65,open,0,0.0
2025-03-03,A00358,Enterprise,LATAM,HealthTech,Core,outbound,172.01,3024,0,0,MQL,118541.0,R005,114,open,0,23708.2
2025-03-04,A00452,SMB,NA,SaaS,Add-on B,paid_search,426.47,7446,260,30,Commit,3190.95,R021,46,open,1,638.19
2025-03-05,A01025,Mid-Market,NA,SaaS,Core,paid_social,210.25,2898,34,2,Closed-Won,40522.7,R041,64,closed,0,0.0
2025-03-06,A00945,SMB,APAC,AI/ML,Core,paid_social,290.54,4873,58,1,MQL,9238.68,R008,54,open,0,0.0
2025-03-07,A00911,SMB,APAC,HealthTech,Core,paid_social,80.7,684,8,0,Proposal,7956.53,R029,37,open,1,0.0
2025-03-08,A00543,Mid-Market,NA,SaaS,Core,paid_search,223.65,2642,92,9,MQL,40145.94,R033,58,open,0,0.0
2025-03-09,A01439,Enterprise,EMEA,AI/ML,Core,referral,17.53,281,0,0,SAL,137010.76,R032,119,open,0,0.0
2025-03-10,A00132,SMB,NA,HealthTech,Core,paid_social,281.45,3030,36,3,MQL,9434.83,R039,34,open,0,0.0
2025-03-11,A00514,Mid-Market,NA,FinTech,Core,referral,9.53,127,0,1,SQL,33062.45,R009,70,open,0,3306.24
2025-03-12,A00177,SMB,EMEA,HealthTech,Core,paid_social,270.63,5191,62,5,MQL,7079.13,R010,44,open,0,0.0
2025-03-13,A00509,Mid-Market,NA,FinTech,Core,referral,7.83,140,0,0,SQL,41214.94,R015,54,open,0,0.0
2025-03-14,A01442,Mid-Market,EMEA,AI/ML,Core,events,1173.79,17249,0,1,Proposal,36188.06,R002,96,open,0,0.0
2025-03-15,A00550,Mid-Market,NA,Ecommerce,Core,paid_social,407.68,6082,72,4,MQL,34533.21,R001,87,open,0,0.0
2025-03-16,A01362,Mid-Market,EMEA,SaaS,Core,outbound,101.9,1899,0,0,MQL,33760.42,R027,65,open,0,3376.04
2025-03-17,A00743,SMB,APAC,Ecommerce,Add-on A,outbound,130.5,2395,0,1,MQL,1667.8,R014,44,open,0,0.0
2025-03-18,A01049,Mid-Market,NA,SaaS,Add-on A,paid_social,278.56,2523,30,1,MQL,7714.33,R044,84,open,1,0.0
2025-03-19,A00686,Mid-Market,NA,HealthTech,Core,paid_social,169.08,2297,27,1,Closed-Won,32082.16,R038,78,closed,0,0.0
